k,EOSSPHlowvis,SplitSPHlowvis,IterSPHlowvis,EOSSPHhighvis,SplitSPHhighvis,IterSPHhighvis,
100.0,4137455814.01724,4136031128.1366277,3780237920.3953533,4130932470.157604,4131384476.681263,3780711793.512474,
125.0,4030667709.7526584,4033271975.1943755,3744341745.70252,4028989534.8435717,4029489790.2962923,3744755542.179573,
150.0,3958889772.0074496,3961488112.3332534,3720617857.440679,3958544143.7031755,3959302983.593105,3720309833.2337685,
175.0,3908729560.9766994,3909933172.046331,3702975346.02094,3909939282.2034674,3910496452.0708857,3703382354.9623575,
200.0,3867731593.193145,3870053447.417282,3690518788.366497,3872505442.2670774,3872819849.6218853,3690283953.389758,
225.0,3839080120.9097786,3840296656.473305,3680012834.9917884,3840832720.738659,3841299036.5739207,3680618782.917215,
250.0,3815214003.7263355,3815963964.110119,3671729404.841677,3816921190.8046126,3817304689.9534993,3672628133.2570934,
275.0,3794408124.191559,3796654253.8610334,3665747147.918183,3796860369.7559543,3797554798.358887,3665892167.8211713,
300.0,3778769400.607297,3780250634.2601027,3660028755.16674,3780015005.2896028,3781000339.3165627,3660379677.0502634,
325.0,3764774114.221804,3766939261.2650247,3655286434.708665,3766558051.6945734,3766990127.5936584,3655811260.7818522,
350.0,3752680847.706643,3755004651.0949836,3651491822.5349317,3754552150.0007434,3755343792.127514,3651882239.287958,
375.0,3742296348.9806333,3744295318.248998,3648059382.5112524,3744061272.6547275,3744696544.0365033,3648425902.4665203,
400.0,3733114123.364765,3735253463.454558,3644608743.8566613,3735021779.602939,3735363129.245391,3645382482.588432,
425.0,3725018752.9345055,3726639808.2100787,3641732573.354661,3727393870.904376,3726981044.9500265,3642669436.9735465,
450.0,3718289752.5520983,3719914068.9087315,3639839744.6506224,3720118545.122485,3720329393.8560686,3640277060.8600492,
475.0,3712449247.013903,3714579239.7253513,3637680329.475825,3713725824.8570075,3714100255.4331746,3638158197.2127457,
500.0,3706258888.261005,3707625693.0983815,3635993386.0373216,3707950048.7295213,3708464247.1193447,3636232791.8577256,
525.0,3702027128.57567,3702719866.2523847,3633877183.5537376,3703368828.6304927,3703222928.2972407,3634491641.5036883,
550.0,3696723844.327661,3698125844.8126884,3632267348.4480786,3698482329.1663833,3698939285.587371,3632910019.940462,
575.0,3692921613.583299,3693567656.9902763,3631091097.768305,3694234315.7009983,3694155327.43572,3631454188.900284,
600.0,3688610689.0716677,3689796145.3433566,3629421875.0692177,3690226553.829869,3690447775.7298107,3630115687.4598484,
625.0,3685413445.087462,3686536422.2770495,3628591793.4643006,3686759182.025056,3687036035.8462744,3628899356.436852,
650.0,3682353690.7776055,3683204597.515359,3627181286.6994195,3683417638.2244897,3683550921.5515804,3627762230.472745,
675.0,3679726151.386763,3680366667.307949,3626407249.2593746,3680384031.924549,3680596111.7014346,3626755662.09105,
700.0,3675894528.4331026,3677224668.810729,3625447748.4264264,3677837071.385371,3677907390.1740537,3625776591.254311,
725.0,3673590198.6714153,3674708430.98955,3624562001.1041265,3675051780.6772294,3675126328.456778,3624867837.7929616,
750.0,3671054556.409079,3672081002.0752654,3623679422.629153,3672488196.2975383,3672670003.5691233,3624026085.4187617,
775.0,3668791259.4338365,3669673730.9346013,3622961583.253737,3670099834.957735,3670062625.426727,3623241435.5564823,
800.0,3666459216.4529014,3667509773.0890384,3622170322.7474375,3667715089.3199515,3668070633.1265306,3622499796.4153266,
825.0,3664606064.4296765,3665552583.0859694,3621487176.6760726,3665575808.8097954,3665937992.454254,3621809759.6087112,
850.0,3662669364.6536326,3663717402.105457,3620796955.8547034,3663911577.853458,3664008715.0359974,3621116219.1538877,
875.0,3660559808.099626,3661712695.4181266,3620206575.258162,3662092681.4550753,3662269265.4155173,3620512943.960552,
900.0,3659115199.4740925,3660173797.7949257,3619554895.7888517,3660152124.9823465,3660460514.1499786,3619937519.892232,
925.0,3657379405.120465,3658277618.7958293,3618951834.8257427,3658561949.4072843,3658797805.282187,3619376461.1524124,
950.0,3655809703.0081887,3656981197.44822,3618543806.808912,3657003841.9624796,3657300244.890514,3618871677.386467,
975.0,3654194037.1964827,3655280200.6077194,3618014764.0778675,3655499102.0295343,3655818129.4927354,3618419696.2664695,
1000.0,3652618697.309392,3653945413.036903,3617590387.324976,3654005287.9402494,3654396216.5386777,3617943709.5458446,