k,eossph,splitsph,splitlowvis,
100.0,4133350045.6676745,4133468896.1219344,4123053850.465553,
125.0,4024501706.783977,4024642669.4575357,4011678760.0406866,
150.0,3956037059.0284367,3953899821.4339495,3939514210.6263866,
175.0,3902751193.588303,3905688118.2122912,3886130562.6955204,
200.0,3860765271.844944,3863458363.7034802,3846588095.0096755,
225.0,3831797364.6836605,3834365255.426477,3821636237.118819,
250.0,3808009590.2847548,3811278613.077214,3792785962.1441793,
275.0,3788520567.7364593,3790549920.189623,3774965781.8007154,
300.0,3771038820.988585,3775091609.217192,3756505820.3381677,
325.0,3758422927.54337,3761191491.0557055,3739404531.9901633,
350.0,3746087878.695161,3749491324.5220447,3732887572.1611357,
375.0,3734172732.0814824,3738843176.107746,3718659139.3997293,
400.0,3725467259.1724715,3729988227.6059947,3711594638.790211,
425.0,3717367792.597874,3722096166.5668306,3700138028.225503,
450.0,3708932724.850534,3714986906.769093,3691008714.0360494,
475.0,3704166794.100981,3708596356.120844,3691598276.9000263,
500.0,3697654419.8552413,3703742019.4410367,3683020189.635208,
525.0,3691380050.49633,3700211747.903691,3673803960.1979337,
550.0,3686548291.438554,3691448249.6332383,3670683584.918676,
575.0,3680249664.540686,3688170582.8474736,3668306695.5142603,
600.0,3674174790.5647526,3682956487.581723,3659974492.1875377,
625.0,3671602699.9737234,3680072873.852209,3658694049.3565664,
650.0,3665960200.997338,3679076885.7466445,3647372595.0214653,
675.0,3662932214.0369396,3674408431.676569,3652735927.0591235,
700.0,3657243921.8827558,3673194980.02927,3648324840.8577476,
725.0,3659321801.290146,3667408491.037602,3639580242.1785507,
750.0,3659825123.196523,3666648075.094804,3642818777.171552,
775.0,3652424177.44847,3661678325.925887,3639841587.6534557,
800.0,3648349100.1660056,3664123967.97243,3633460648.5654874,
825.0,3650250476.5144157,3657462060.0708227,3626466440.6561794,
850.0,3640180139.6055613,3654561596.9126425,3636852596.2276525,
875.0,3641524114.109084,3651938574.6976438,3631587360.05845,
900.0,3645078137.3146076,3652307629.7885523,3631079933.868841,
925.0,3650825115.806299,3649935012.90447,3624228787.8991218,
950.0,3633436896.342692,3650745786.4193473,3621930930.7661123,
975.0,3636294670.183038,3647918814.6350236,3624707108.0329585,
1000.0,3627320162.531669,3648763391.588423,3623899616.1250434,