k,eossph,splitsph,splitlowvis
100.0,1.8333027782870286,1.8333027782870286,1.8333027782870286,
125.0,1.999966667222213,1.999966667222213,1.999966667222213,
150.0,2.1666305561573975,2.1666305561573975,2.1666305561573975,
175.0,2.2499625006249895,2.333294445092582,2.2499625006249895,
200.0,2.416626389560174,2.416626389560174,2.416626389560174,
225.0,2.583290278495358,2.583290278495358,2.416626389560174,
250.0,2.6666222229629506,2.749954167430543,2.749954167430543,
275.0,2.833286111898135,2.833286111898135,2.749954167430543,
300.0,2.9166180563657274,2.9166180563657274,2.9166180563657274,
325.0,3.0832819453009117,3.0832819453009117,2.9999500008333193,
350.0,3.1666138897685037,3.1666138897685037,3.0832819453009117,
375.0,3.249945834236096,3.249945834236096,3.1666138897685037,
400.0,3.3332777787036885,3.3332777787036885,3.1666138897685037,
425.0,3.4166097231712804,3.4166097231712804,3.3332777787036885,
450.0,3.499941667638873,3.499941667638873,3.3332777787036885,
475.0,3.583273612106465,3.583273612106465,3.4166097231712804,
500.0,3.666605556574057,3.666605556574057,3.499941667638873,
525.0,3.749937501041649,3.8332694455092415,3.583273612106465,
550.0,3.916601389976834,3.916601389976834,3.666605556574057,
575.0,3.916601389976834,3.916601389976834,3.583273612106465,
600.0,3.916601389976834,3.999933334444426,3.666605556574057,
625.0,4.083265278912018,3.999933334444426,3.749937501041649,
650.0,4.16659722337961,4.16659722337961,3.749937501041649,
675.0,4.249929167847203,4.333261112314795,3.666605556574057,
700.0,4.333261112314795,4.333261112314795,3.999933334444426,
725.0,4.583256945717571,4.416593056782387,3.749937501041649,
750.0,4.499925001249979,4.499925001249979,4.16659722337961,
775.0,4.583256945717571,4.583256945717571,4.249929167847203,
800.0,4.333261112314795,4.666588890185164,4.16659722337961,
825.0,4.583256945717571,4.749920834652756,4.249929167847203,
850.0,4.749920834652756,4.666588890185164,4.499925001249979,
875.0,4.749920834652756,4.91658472358794,4.249929167847203,
900.0,4.749920834652756,4.833252779120348,4.499925001249979,
925.0,4.833252779120348,4.91658472358794,4.499925001249979,
950.0,4.666588890185164,4.91658472358794,4.666588890185164,
975.0,4.749920834652756,5.083248612523125,4.583256945717571,
1000.0,4.749920834652756,5.083248612523125,3.999933334444426,
      